 State,District,Date,Year,Month,Avg_smlvl_at15cm,Agency_name,Nitrogen,Phosphorus,Potassium,Boron,Iron,Zinc,Copper,Sulphur,Organic Carbon,Soil pH,Soil Salinity,Manganese,Temperature_°C,Updated_Nitrogen,Phosphorus,Updated_Potassium,Updated_Boron,Updated_Iron,Updated_Zinc,Updates_Copper,Updated_Sulphur,Updated_Organic Carbon,Updates_Soil pH,Updates_Soil Salinity,Updated_Manganese
Haryana,Ambala,2/5/2025,2025,2,1.513771,NRSC VIC MODEL,<280 kg/ha,10 to >25 kg/ha,<120 to 280 kg/ha,>0.5 ppm,>4.5 ppm,>0.6 ppm,>0.2 ppm,>10.0 ppm,<0.50%,>7.5-8.5,0-1.68 dS/m,>2.0 ppm,15.3,<372.4 kg/ha,9.15 to >22.88 kg/ha,<102.6 to 239.4 kg/ha,>0.46 ppm,>3.69 ppm,>0.63 ppm,>0.2 ppm,>8.8 ppm,<0.42%,>7.5−8.5,0−1.73 dS/m,>1.92 ppm
Haryana,Ambala,2/6/2025,2025,2,11.11321,NRSC VIC MODEL,<280 kg/ha,10 to >25 kg/ha,<120 to 280 kg/ha,>0.5 ppm,>4.5 ppm,>0.6 ppm,>0.2 ppm,>10.0 ppm,<0.50%,>7.5-8.5,0-1.68 dS/m,>2.0 ppm,15.3,<372.4 kg/ha,9.15 to >22.88 kg/ha,<102.6 to 239.4 kg/ha,>0.46 ppm,>3.69 ppm,>0.63 ppm,>0.2 ppm,>8.8 ppm,<0.42%,>7.5−8.5,0−1.73 dS/m,>1.92 ppm
Haryana,Ambala,2/7/2025,2025,2,10.90215,NRSC VIC MODEL,<280 kg/ha,10 to >25 kg/ha,<120 to 280 kg/ha,>0.5 ppm,>4.5 ppm,>0.6 ppm,>0.2 ppm,>10.0 ppm,<0.50%,>7.5-8.5,0-1.68 dS/m,>2.0 ppm,15.3,<372.4 kg/ha,9.15 to >22.88 kg/ha,<102.6 to 239.4 kg/ha,>0.46 ppm,>3.69 ppm,>0.63 ppm,>0.2 ppm,>8.8 ppm,<0.42%,>7.5−8.5,0−1.73 dS/m,>1.92 ppm
Haryana,Ambala,2/16/2025,2025,2,9.43115,NRSC VIC MODEL,<280 kg/ha,10 to >25 kg/ha,<120 to 280 kg/ha,>0.5 ppm,>4.5 ppm,>0.6 ppm,>0.2 ppm,>10.0 ppm,<0.50%,>7.5-8.5,0-1.68 dS/m,>2.0 ppm,15.3,<372.4 kg/ha,9.15 to >22.88 kg/ha,<102.6 to 239.4 kg/ha,>0.46 ppm,>3.69 ppm,>0.63 ppm,>0.2 ppm,>8.8 ppm,<0.42%,>7.5−8.5,0−1.73 dS/m,>1.92 ppm
Haryana,Ambala,2/24/2025,2025,2,9.499904,NRSC VIC MODEL,<280 kg/ha,10 to >25 kg/ha,<120 to 280 kg/ha,>0.5 ppm,>4.5 ppm,>0.6 ppm,>0.2 ppm,>10.0 ppm,<0.50%,>7.5-8.5,0-1.68 dS/m,>2.0 ppm,15.3,<372.4 kg/ha,9.15 to >22.88 kg/ha,<102.6 to 239.4 kg/ha,>0.46 ppm,>3.69 ppm,>0.63 ppm,>0.2 ppm,>8.8 ppm,<0.42%,>7.5−8.5,0−1.73 dS/m,>1.92 ppm
Haryana,Bhiwani,2/1/2025,2025,2,9.6776,NRSC VIC MODEL,<280 kg/ha,10 to >25 kg/ha,120 to >280 kg/ha,<0.5 to >0.5 ppm,<4.5 ppm,<0.6 to >0.6 ppm,>0.2 ppm,>10.0 ppm,<0.50%,>7.5-8.5,0-1.68 dS/m,>2.0 ppm,16.1,<366.8 kg/ha,9.08 to >22.7 kg/ha,102 to >238 kg/ha,<0.45 to >0.45 ppm,<3.51 ppm,<0.55 to >0.55 ppm,>0.19 ppm,>8.5 ppm,<0.41%,>7.5−8.5,0−1.83 dS/m,>1.86 ppm
Haryana,Bhiwani,2/6/2025,2025,2,8.730281,NRSC VIC MODEL,<280 kg/ha,10 to >25 kg/ha,120 to >280 kg/ha,<0.5 to >0.5 ppm,<4.5 ppm,<0.6 to >0.6 ppm,>0.2 ppm,>10.0 ppm,<0.50%,>7.5-8.5,0-1.68 dS/m,>2.0 ppm,16.1,<366.8 kg/ha,9.08 to >22.7 kg/ha,102 to >238 kg/ha,<0.45 to >0.45 ppm,<3.51 ppm,<0.55 to >0.55 ppm,>0.19 ppm,>8.5 ppm,<0.41%,>7.5−8.5,0−1.83 dS/m,>1.86 ppm
Haryana,Bhiwani,2/14/2025,2025,2,7.421611,NRSC VIC MODEL,<280 kg/ha,10 to >25 kg/ha,120 to >280 kg/ha,<0.5 to >0.5 ppm,<4.5 ppm,<0.6 to >0.6 ppm,>0.2 ppm,>10.0 ppm,<0.50%,>7.5-8.5,0-1.68 dS/m,>2.0 ppm,16.1,<366.8 kg/ha,9.08 to >22.7 kg/ha,102 to >238 kg/ha,<0.45 to >0.45 ppm,<3.51 ppm,<0.55 to >0.55 ppm,>0.19 ppm,>8.5 ppm,<0.41%,>7.5−8.5,0−1.83 dS/m,>1.86 ppm
Haryana,Bhiwani,2/18/2025,2025,2,6.966521,NRSC VIC MODEL,<280 kg/ha,10 to >25 kg/ha,120 to >280 kg/ha,<0.5 to >0.5 ppm,<4.5 ppm,<0.6 to >0.6 ppm,>0.2 ppm,>10.0 ppm,<0.50%,>7.5-8.5,0-1.68 dS/m,>2.0 ppm,16.1,<366.8 kg/ha,9.08 to >22.7 kg/ha,102 to >238 kg/ha,<0.45 to >0.45 ppm,<3.51 ppm,<0.55 to >0.55 ppm,>0.19 ppm,>8.5 ppm,<0.41%,>7.5−8.5,0−1.83 dS/m,>1.86 ppm
Haryana,Bhiwani,2/23/2025,2025,2,7.018994,NRSC VIC MODEL,<280 kg/ha,10 to >25 kg/ha,120 to >280 kg/ha,<0.5 to >0.5 ppm,<4.5 ppm,<0.6 to >0.6 ppm,>0.2 ppm,>10.0 ppm,<0.50%,>7.5-8.5,0-1.68 dS/m,>2.0 ppm,16.1,<366.8 kg/ha,9.08 to >22.7 kg/ha,102 to >238 kg/ha,<0.45 to >0.45 ppm,<3.51 ppm,<0.55 to >0.55 ppm,>0.19 ppm,>8.5 ppm,<0.41%,>7.5−8.5,0−1.83 dS/m,>1.86 ppm
Haryana,Bhiwani,2/25/2025,2025,2,6.793329,NRSC VIC MODEL,<280 kg/ha,10 to >25 kg/ha,120 to >280 kg/ha,<0.5 to >0.5 ppm,<4.5 ppm,<0.6 to >0.6 ppm,>0.2 ppm,>10.0 ppm,<0.50%,>7.5-8.5,0-1.68 dS/m,>2.0 ppm,16.1,<366.8 kg/ha,9.08 to >22.7 kg/ha,102 to >238 kg/ha,<0.45 to >0.45 ppm,<3.51 ppm,<0.55 to >0.55 ppm,>0.19 ppm,>8.5 ppm,<0.41%,>7.5−8.5,0−1.83 dS/m,>1.86 ppm
Haryana,Charki Dadri,2/3/2025,2025,2,7.805314,NRSC VIC MODEL,<280 kg/ha,10 to >25 kg/ha,120 to >280 kg/ha,>0.5 ppm,<4.5 to >4.5 ppm,<0.6 to >0.6 ppm,>0.2 ppm,>10.0 ppm,<0.50%,>7.5-8.5,0-1.68 dS/m,>2.0 ppm,15.9,<364 kg/ha,9.12 to >22.8 kg/ha,102.24 to >238.56 kg/ha,>0.45 ppm,<3.6 to >3.6 ppm,<0.56 to >0.56 ppm,>0.19 ppm,>8.6 ppm,<0.42%,>7.5−8.5,0−1.8 dS/m,>1.88 ppm
Haryana,Charki Dadri,2/8/2025,2025,2,6.951195,NRSC VIC MODEL,<280 kg/ha,10 to >25 kg/ha,120 to >280 kg/ha,>0.5 ppm,<4.5 to >4.5 ppm,<0.6 to >0.6 ppm,>0.2 ppm,>10.0 ppm,<0.50%,>7.5-8.5,0-1.68 dS/m,>2.0 ppm,15.9,<364 kg/ha,9.12 to >22.8 kg/ha,102.24 to >238.56 kg/ha,>0.45 ppm,<3.6 to >3.6 ppm,<0.56 to >0.56 ppm,>0.19 ppm,>8.6 ppm,<0.42%,>7.5−8.5,0−1.8 dS/m,>1.88 ppm
Haryana,Charki Dadri,2/15/2025,2025,2,5.922319,NRSC VIC MODEL,<280 kg/ha,10 to >25 kg/ha,120 to >280 kg/ha,>0.5 ppm,<4.5 to >4.5 ppm,<0.6 to >0.6 ppm,>0.2 ppm,>10.0 ppm,<0.50%,>7.5-8.5,0-1.68 dS/m,>2.0 ppm,15.9,<364 kg/ha,9.12 to >22.8 kg/ha,102.24 to >238.56 kg/ha,>0.45 ppm,<3.6 to >3.6 ppm,<0.56 to >0.56 ppm,>0.19 ppm,>8.6 ppm,<0.42%,>7.5−8.5,0−1.8 dS/m,>1.88 ppm
Haryana,Charki Dadri,2/27/2025,2025,2,5.057753,NRSC VIC MODEL,<280 kg/ha,10 to >25 kg/ha,120 to >280 kg/ha,>0.5 ppm,<4.5 to >4.5 ppm,<0.6 to >0.6 ppm,>0.2 ppm,>10.0 ppm,<0.50%,>7.5-8.5,0-1.68 dS/m,>2.0 ppm,15.9,<364 kg/ha,9.12 to >22.8 kg/ha,102.24 to >238.56 kg/ha,>0.45 ppm,<3.6 to >3.6 ppm,<0.56 to >0.56 ppm,>0.19 ppm,>8.6 ppm,<0.42%,>7.5−8.5,0−1.8 dS/m,>1.88 ppm
